Nom_Etablissement,Telephone,Email,Localisation,Classement,Statut_Appel,Commentaire_Terrain,Site_Web
Duplex Cassiopée,07 28 53 88 78,,62780#Cucq,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
Brit Hotel Le Royal,09 00 78 49 31,troyes-royal@brithotel.fr,10000#Troyes,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://troyes-royal.brithotel.fr
Gîte de Curty,04 36 49 95 69,,58160#Imphy,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
La maisonnette d'Acheux,07 50 66 73 79,,80210#Acheux-en-Vimeu,3 épis / Confort#Gîtes de France|Gîtes de France#Gîtes de France|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Authentique appartement,05 56 61 29 05,,08150#Renwez,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le Potager,07 82 34 95 95,,71120#Baron,Bienvenue à la ferme#Bienvenue à la ferme|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Chez Monette,09 72 81 14 46,,24460#Négrondes,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
La Tour du Stock - chalets grand confort 6 personnes,03 87 03 13 09,tourisme.langatte@wanadoo.fr,57400#Langatte,3 étoiles#Classement officiel des hébergements touristiques|3 Clés#Clévacances,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://www.langatte-tourisme.com/fr/hebergement/lodges-insolites
Maison de Campagne à Diénné,02 73 74 42 86,,86410#Dienné,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
Le Tulipier,06 84 80 42 54,tulipier.le@orange.fr,51800#Vienne-le-Château,Hôtel Cosy#Logis|3 étoiles#Classement officiel des hébergements touristiques|Accueil motards#Accueil motards,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,http://www.letulipier.com
Le Hameau A La Margot - Gîte  Le Chêne,07 08 90 72 45,,24510#Val de Louyre et Caudeau,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Hôtel restaurant - le Domaine du Revermont,03 61 70 83 72,contact@domaine-du-revermont.fr,39230#Passenans,Vignobles & Découvertes#Label Vignobles & Découvertes|Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.domaine-du-revermont.fr
La Bulle Frebermis,09 93 15 21 33,,47300#Villeneuve-sur-Lot,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le logis des hirondelles,06 89 26 07 14,lelogisdeshirondelles80@gmail.com,80230#Pendé,3 épis / Confort#Gîtes de France|Gîtes de France#Gîtes de France,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://lelogisdeshirondelles.fr
La Cotonnerie,06 09 67 44 90,ed.devauchelle@gmail.com,02100#Saint-Quentin,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Ibis Nuits-Saint-Georges - Hôtel-Restaurant,06 34 83 82 30,,21700#Nuits-Saint-Georges,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://all.accor.com/ssr/app/accor/rates/5478/index.fr.shtml?dateIn=2022-08-18&nights=1&compositions=2&stayplus=false&snu=false&gclid=Cj0KCQjwidSWBhDdARIsAIoTVb3JUVOWhaG3BuwE69hTo6BmDgdLDYMVPVy6jVAy_ru8zYG3WI0iHBQaAsgREALw_wcB&utm_campaign=5478-FR-cpc-desktop-default-0--localuniversal-15640838545-0-0-1&utm_medium=partenariats&hmGUID=9f1ba0d6-d811-4677-1d3e-29d5b7a5b421&utm_source=Google%20Hotel%20Ads
Le Chouette - Cap Gîtes,07 48 40 04 22,,62142#Bellebrune,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte Prunier,09 72 11 26 31,lesgitessurlacolline@gmail.com,47800#Montignac-de-Lauzun,3 étoiles#Classement officiel des hébergements touristiques|Clé Vacances#Clé vacances|3 Clés#Clévacances,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://www.lesgitessurlacolline.fr
Les Fougères,03 72 56 16 43,contact@hotel-lesfougeres.fr,40150#Soorts-Hossegor,3 étoiles#Classement officiel des hébergements touristiques|Accueil Vélo#France Vélo Tourisme,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://hotel-lesfougeres.fr
Appartement Pernot,06 40 50 64 02,,64600#Anglet,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
La Fermette du Loup - La Tanière,06 81 42 98 25,,58220#Cessy-les-Bois,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
Aux 10 ponts,06 33 50 89 04,aux10ponts@gmail.com,80580#Pont-Remy,3 étoiles#Classement officiel des hébergements touristiques|Accueil Vélo#France Vélo Tourisme,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,
Hôtel Les Echasses,04 15 48 77 20,,40230#Saubion,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.ecolodge-lesechasses.com
Gîte de Prymalya - Océan,09 29 51 14 68,,47700#Casteljaloux,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://gitedeprymalya.fr
