Nom de la tache,Pole,Responsable,Status,Priorite,Deadline,Superviseur,Note
H1: Diagnostic Final KPIs,Strategie,Julien,To Do,🔥 Urgent,2026-05-18,Lorraine,Extraction stats Lemlist/Sondage
H2: Redaction Note d'Op Prestige,Strategie,Wassila,To Do,🔥 Urgent,2026-05-18,"Lorraine (Fond) / Albane (Design)",Format A4 Prestige Cyber
H3: Finalisation Dashboard Live,Tech/Automation,Julien,To Do,🔥 Urgent,2026-05-18,"Julien (Tech) / Albane (Design)",Graphiques real-time traction
H5: Audit Grille Rocket School,Coordination,Lorraine,To Do,🔥 Urgent,2026-05-18,Albane,Verification 20/20 visé
Debrief Jury & Friction Pitch,Strategie,Julien,To Do,⚡ Normal,2026-05-19,Albane,Analyse post-rendu
Post-prod Video BTS LinkedIn,Storytelling,Albane,To Do,⚡ Normal,2026-05-19,Lorraine,Contenu engageant J+1
Traitement Réponses Lemlist,Sales,Julien,To Do,🔥 Urgent,2026-05-20,Albane,Prise de RDV B2B réels
Ajustement MVP Post-Epreuve,Tech/Automation,Julien,To Do,⚡ Normal,2026-05-20,Lorraine,Fixes basés sur retours jury
Campagne QuestIA Challenge Social,Sales/Inbound,Lorraine,To Do,⚡ Normal,2026-05-21,Albane,Viralité post-examen
Bilan Financier & ROI Réel,Strategie,Julien,To Do,⚡ Normal,2026-05-22,Albane,Clôture de la phase MVP
Publication Rapport Apprentissage,Storytelling,Wassila,To Do,💤 Low,2026-05-22,Lorraine,Partage d'expérience équipe
