Commercial_Affecte,Civilite,Prenom,Nom,Fonction_Exacte,LinkedIn_Profil,Nom_Entreprise,Type_Etablissement,Site_Web,Taille_Structure,Adresse_Complete,Email_Direct,Telephone_Mobile,Telephone_Standard,Email_Generique,Source_Lead,Niveau_Engagement,Besoin_Detecte,Concurrent_Actuel,Statut_Prospection,Date_Dernier_Contact,Commentaire_Libre,Prochaine_Action
PK,,,,Le Domaine d'Engrazac,Domaine/Château,,,Département 11,,,,Dossier Hébergeurs,,,Avis: Domaines rénovés de grande capacité idéaux pour groupes/événements, propreté exemplaire, piscines chauffées et accueil chaleureux plébiscités ; notes constantes à 9,6-10/10.,,Publié (Conserver),,"Domaines rénovés de grande capacité idéaux pour groupes/événements, propreté exemplaire, piscines chauffées et accueil chaleureux plébiscités ; notes constantes à 9,6-10/10. | Tendance stable.",""
PK,,,,Votre terrasse au soleil,Gîte,,,Département 31,,,,Dossier Hébergeurs,,,Avis: Gîte récent à Toulouse (Happy House) de 4-8 couchages, terrasse ensoleillée et emplacement pratique plébiscités dans les descriptions,,Publié (Conserver),,"Gîte récent à Toulouse (Happy House) de 4-8 couchages, terrasse ensoleillée et emplacement pratique plébiscités dans les descriptions, | Tendance stable.",""
PK,,,,Les pieds dans l'eau,Gîte,,,Département 66,,,,Dossier Hébergeurs,,,Avis: Gîtes calmes et spacieux près de l’eau, confort et proximité nature soulignés, notes 10/10 récentes.; Evolution: Légère amélioration (avis positifs constants).,,Publié (Conserver),,"Gîtes calmes et spacieux près de l’eau, confort et proximité nature soulignés, notes 10/10 récentes. | Légère amélioration (avis positifs constants).",""
JF,,,,La Maison du Château,Gîte,,,Département 66,,,,Dossier Hébergeurs,,,Avis: Gîte duplex provençal au cœur du village, vue panoramique et propreté irréprochable, 79 % d’appréciation sur 3 ans.; Evolution: Tendance stable.,,Publié (Conserver),,"4 et 5 même hébergeur | Gîte duplex provençal au cœur du village, vue panoramique et propreté irréprochable, 79 % d’appréciation sur 3 ans. | Tendance stable.",""
JF,,,,Domaine de Riberach,Domaine/Château,,,Département 66,,,,Dossier Hébergeurs,,,Avis: Hôtel-spa 4* avec piscine naturelle, restaurant étoilé et chambres dans cuves ; accueil et cadre zen très appréciés (10/10 récents), stable depuis 2015.; Evolution: Tendance stable.,,Publié (Conserver),,"Vin | Hôtel-spa 4* avec piscine naturelle, restaurant étoilé et chambres dans cuves ; accueil et cadre zen très appréciés (10/10 récents), stable depuis 2015. | Tendance stable.",""
JF,,,,Clos des Coustoulins,Maison/Demeure,,,Département 34,,,,Dossier Hébergeurs,,,Avis: Maison d’hôtes luxe près Lac du Salagou, piscine chauffée et séjours concepts (quad) plébiscités ; notes 10/10.; Evolution: Légère amélioration (croissance visibilité).,,Publié (Conserver),RDV programer le 13/02/2026,"RDV programer le 13/02/2026 | X impliquée | Maison d’hôtes luxe près Lac du Salagou, piscine chauffée et séjours concepts (quad) plébiscités ; notes 10/10. | Légère amélioration (croissance visibilité).",""
,,,,La Péniche Saint-Louis,Bateau/Péniche,,,Toulouse, Département 31,,,,Dossier Hébergeurs,,,Avis: Péniche rénovée 2021 à Toulouse, atypique pour événements/mariages, lumière naturelle et toit-terrasse ; récents positifs.; Evolution: Amélioration post-rénovation.,,A supprimer par CnC (Supprimer),,"C'est un partenaire - pas un hébergeur | Péniche rénovée 2021 à Toulouse, atypique pour événements/mariages, lumière naturelle et toit-terrasse ; récents positifs. | Amélioration post-rénovation.",""
,,,,Bord de Garonne,,,,Département 31,,,,Dossier Hébergeurs,,,,,,,,,,""
JF,,,,Chalet Nantailly,Gîte,,,Département 73,,,,Dossier Hébergeurs,,,Avis: Éco-chalet Savoie vue Mont-Blanc, bain nordique et rénovation 2015 ; groupes/familles ravies du confort et vue.; Evolution: Tendance stable.,,A décider (A appeler),1/1/2026,"X Perdue de vue | Éco-chalet Savoie vue Mont-Blanc, bain nordique et rénovation 2015 ; groupes/familles ravies du confort et vue. | Tendance stable.",""
JF,,,,La Grange,Gîte,,,Département 11,,,,Dossier Hébergeurs,,,Avis: Gîtes rustiques Gers/Cauterets, piscines et calme campagne ; équipement et hôtes gentils (10/10 mars 2023).; Evolution: Tendance stable.,,A décider (A appeler),1/1/2026,"X Perdue de vue | Gîtes rustiques Gers/Cauterets, piscines et calme campagne ; équipement et hôtes gentils (10/10 mars 2023). | Tendance stable.",""
,,,,Le Fafarua Lodge,Hôtel,,,Département 98,,,,Dossier Hébergeurs,,,Avis: Lodge Polynésie/Tahiti bord plage, 93 % appréciation sur 27 avis/3 ans ; cadre isolé positif malgré quelques médiocres.; Evolution: Légère amélioration.,,A supprimer par CnC (Supprimer),,"Lodge Polynésie/Tahiti bord plage, 93 % appréciation sur 27 avis/3 ans ; cadre isolé positif malgré quelques médiocres. | Légère amélioration.",""
PK,,,,L'Home à la mer,Maison/Demeure,,,Département 22,,,,Dossier Hébergeurs,,,Avis: Maison familiale Bretagne bord mer, emplacement et équipement 4,8/5 (6 avis Google) ; propreté et localisation top.; Evolution: Tendance stable.,,Publié (Conserver),,"Maison familiale Bretagne bord mer, emplacement et équipement 4,8/5 (6 avis Google) ; propreté et localisation top. | Tendance stable.",""
,,,,Maison de la Baie de Cook,Villa,,,Département 98,,,,Dossier Hébergeurs,,,Avis: Villa Moorea luxe pieds dans l’eau, vue Papeete et jacuzzi ; groupes satisfaits (10/10 mars/juillet 2025).; Evolution: Tendance stable.,,A décider (A appeler),1/1/2026,"Villa Moorea luxe pieds dans l’eau, vue Papeete et jacuzzi ; groupes satisfaits (10/10 mars/juillet 2025). | Tendance stable.",""
,,,,Kom'Home,,,,Département 29,,,,Dossier Hébergeurs,,,,,,NO GO,,,""
JF,,,,Le Doux Nid,Maison/Demeure,,,Département 73,,,,Dossier Hébergeurs,,,Avis: B&B Chanaz thématique, déco soignée et petit-déj excellent ; 232-403 avis, quelques plaintes odeur/isolation but global positif.; Evolution: Légère amélioration récente.,,A décider (A appeler),1/1/2026,"X Perdue de vue | B&B Chanaz thématique, déco soignée et petit-déj excellent ; 232-403 avis, quelques plaintes odeur/isolation but global positif. | Légère amélioration récente.",""
