Nom,N° Adhérent,Statut APP 1/1/2026,Facturation sûre 1/1/26,Facturation à évaluer,Statut commercial,Quand,Qui appelle ?,statut,Commentaire JF,Commentaire patrice,Commentaires,Suivi PK,Suivi Commerce,Etat du WEB,resume_avis_36_mois,evolution_36_mois,saisonnalite_preferee
Le domaine d'engrazac,1,Publié,1,,Conserver,,PK,,,,,,,,"Domaines rénovés de grande capacité idéaux pour groupes/événements, propreté exemplaire, piscines chauffées et accueil chaleureux plébiscités ; notes constantes à 9,6-10/10.",Tendance stable.,
Votre terrasse au soleil,2,Publié,1,,Conserver,,PK,,,,,,,,"Gîte récent à Toulouse (Happy House) de 4-8 couchages, terrasse ensoleillée et emplacement pratique plébiscités dans les descriptions,",Tendance stable.,
Les pieds dans l'eau,3,Publié,1,,Conserver,,PK,,,,,,,,"Gîtes calmes et spacieux près de l’eau, confort et proximité nature soulignés, notes 10/10 récentes.",Légère amélioration (avis positifs constants).,
La maison du château,4,Publié,1,,Conserver,,JF,NRP,,4 et 5 même hébergeur,,,,,"Gîte duplex provençal au cœur du village, vue panoramique et propreté irréprochable, 79 % d’appréciation sur 3 ans.",Tendance stable.,
Domaine Riberach,5,Publié,1,,Conserver,,JF,NRP,,Vin,,,,,"Hôtel-spa 4* avec piscine naturelle, restaurant étoilé et chambres dans cuves ; accueil et cadre zen très appréciés (10/10 récents), stable depuis 2015.",Tendance stable.,
Clos des coustoulins,6,Publié,1,,Conserver,,JF,pas dispo,RDV programer le 13/02/2026,X impliquée,,,,,"Maison d’hôtes luxe près Lac du Salagou, piscine chauffée et séjours concepts (quad) plébiscités ; notes 10/10.",Légère amélioration (croissance visibilité).,
La péniche saint louis,8,A supprimer par CnC,0,,Supprimer,immédiatement,,,,,C'est un partenaire - pas un hébergeur,,,,"Péniche rénovée 2021 à Toulouse, atypique pour événements/mariages, lumière naturelle et toit-terrasse ; récents positifs.",Amélioration post-rénovation.,
Chalet Nantailly,9,A décider,,1,A appeler,1/1/2026,JF,NRP,,X Perdue de vue,,,,,"Éco-chalet Savoie vue Mont-Blanc, bain nordique et rénovation 2015 ; groupes/familles ravies du confort et vue.",Tendance stable.,
La grange,10,A décider,,1,A appeler,1/1/2026,JF,NRP,,X Perdue de vue,,,,,"Gîtes rustiques Gers/Cauterets, piscines et calme campagne ; équipement et hôtes gentils (10/10 mars 2023).",Tendance stable.,
Fafarua,11,A supprimer par CnC,0,,Supprimer,immédiatement,,,,,,,,,"Lodge Polynésie/Tahiti bord plage, 93 % appréciation sur 27 avis/3 ans ; cadre isolé positif malgré quelques médiocres.",Légère amélioration.,
